Percent,Real_Goal,Time,Cost,Prob,Results
10,0,60143300,53/53/52/53/52/53/52/50/52/52/52/53/52/51/51/52/53/51/53/50/,0.04902063834470946/0.04902063834470946/0.0499913126473976/0.04902063834470946/0.0499913126473976/0.04902063834470946/0.0499913126473976/0.051990703801671354/0.0499913126473976/0.0499913126473976/0.0499913126473976/0.04902063834470946/0.0499913126473976/0.05098120760150347/0.05098120760150347/0.0499913126473976/0.04902063834470946/0.05098120760150347/0.04902063834470946/0.051990703801671354/,7/19/
10,1,52076300,53/51/50/53/52/51/52/53/52/52/52/53/52/52/51/52/53/51/53/53/,0.04907017449940819/0.05103272494341807/0.05204324125596367/0.04907017449940819/0.05004182968431336/0.05103272494341807/0.05004182968431336/0.04907017449940819/0.05004182968431336/0.05004182968431336/0.05004182968431336/0.04907017449940819/0.05004182968431336/0.05004182968431336/0.05103272494341807/0.05004182968431336/0.04907017449940819/0.05103272494341807/0.04907017449940819/0.04907017449940819/,2/
10,5,66982800,50/50/50/51/51/51/50/50/50/51/50/50/50/51/51/51/51/51/50/50/50/,0.04801863523426398/0.04801863523426398/0.04801863523426398/0.047086264132092465/0.047086264132092465/0.047086264132092465/0.04801863523426398/0.04801863523426398/0.04801863523426398/0.047086264132092465/0.04801863523426398/0.04801863523426398/0.04801863523426398/0.047086264132092465/0.047086264132092465/0.047086264132092465/0.047086264132092465/0.047086264132092465/0.04801863523426398/0.04801863523426398/0.04801863523426398/,0/1/2/6/7/8/10/11/12/18/19/20/
10,3,39538600,51/50/51/51/51/51/51/50/51/51/50/51/51/50/51/51/50/51/51/50/,0.049704733906650506/0.0506889542178155/0.049704733906650506/0.049704733906650506/0.049704733906650506/0.049704733906650506/0.049704733906650506/0.0506889542178155/0.049704733906650506/0.049704733906650506/0.0506889542178155/0.049704733906650506/0.049704733906650506/0.0506889542178155/0.049704733906650506/0.049704733906650506/0.0506889542178155/0.049704733906650506/0.049704733906650506/0.0506889542178155/,1/7/10/13/16/19/
10,4,42727600,50/50/50/50/50/50/51/51/50/50/50/50/50/50/50/50/50/51/50/51/,0.050194925565228386/0.050194925565228386/0.050194925565228386/0.050194925565228386/0.050194925565228386/0.050194925565228386/0.04922029773908654/0.04922029773908654/0.050194925565228386/0.050194925565228386/0.050194925565228386/0.050194925565228386/0.050194925565228386/0.050194925565228386/0.050194925565228386/0.050194925565228386/0.050194925565228386/0.04922029773908654/0.050194925565228386/0.04922029773908654/,0/1/2/3/4/5/8/9/10/11/12/13/14/15/16/18/
10,0,65388800,51/50/50/50/51/50/51/51/50/51/50/50/50/51/50/50/50/51/50/50/50/,0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04699862381471914/0.04699862381471914/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/0.04699862381471914/0.04792925952121189/0.04792925952121189/0.04792925952121189/,1/2/3/5/8/10/11/12/14/15/16/18/19/20/
10,0,39053700,50/51/51/51/51/51/51/51/51/50/51/51/51/51/51/51/51/51/51/51/51/,0.0484705607356234/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.0484705607356234/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/0.047529414659408034/,0/9/
10,0,45576800,51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/51/,0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/0.047619047619047616/,0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/
10,10,44823400,51/50/51/51/51/51/51/51/50/51/51/50/50/51/51/50/50/51/51/51/51/,0.047351157236060155/0.04828877357651626/0.047351157236060155/0.047351157236060155/0.047351157236060155/0.047351157236060155/0.047351157236060155/0.047351157236060155/0.04828877357651626/0.047351157236060155/0.047351157236060155/0.04828877357651626/0.04828877357651626/0.047351157236060155/0.047351157236060155/0.04828877357651626/0.04828877357651626/0.047351157236060155/0.047351157236060155/0.047351157236060155/0.047351157236060155/,1/8/11/12/15/16/
10,10,54434300,51/50/51/51/51/51/51/51/50/51/51/50/50/51/51/50/50/51/51/51/51/,0.047351157236060155/0.04828877357651626/0.047351157236060155/0.047351157236060155/0.047351157236060155/0.047351157236060155/0.047351157236060155/0.047351157236060155/0.04828877357651626/0.047351157236060155/0.047351157236060155/0.04828877357651626/0.04828877357651626/0.047351157236060155/0.047351157236060155/0.04828877357651626/0.04828877357651626/0.047351157236060155/0.047351157236060155/0.047351157236060155/0.047351157236060155/,1/8/11/12/15/16/
