World,Goals,Plans,Model,Step,Time,Cost,Prob,Results
10,6,10,1,8,6804500,642/204/848/958/958/958/,6.011971683378335E-191/1.0/0.0/0.0/0.0/0.0/,1/
10,6,10,1,1,6363000,50/61/61/61/61/61/,0.9999164984691367/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/,0/
10,6,10,1,3,9666100,83/110/110/110/110/110/,0.9999999999906026/1.879528816521421E-12/1.879528816521421E-12/1.879528816521421E-12/1.879528816521421E-12/1.879528816521421E-12/,0/
10,6,10,1,5,10147300,158/120/254/254/254/254/,3.1391327920480296E-17/1.0/6.375869581278994E-59/6.375869581278994E-59/6.375869581278994E-59/6.375869581278994E-59/,1/
10,6,10,1,7,9858600,289/140/528/528/528/528/,1.9503933001302485E-65/1.0/3.1170302824520583E-169/3.1170302824520583E-169/3.1170302824520583E-169/3.1170302824520583E-169/,1/
10,6,10,1,9,12247600,425/250/1061/1061/1061/1061/,9.964733010103672E-77/1.0/0.0/0.0/0.0/0.0/,1/
10,6,10,1,1,10248100,61/61/61/61/61/61/,0.16666666666666663/0.16666666666666663/0.16666666666666663/0.16666666666666663/0.16666666666666663/0.16666666666666663/,0/1/2/3/4/5/
10,6,10,1,3,12370600,110/70/110/110/110/110/,4.248354255291589E-18/1.0/4.248354255291589E-18/4.248354255291589E-18/4.248354255291589E-18/4.248354255291589E-18/,1/
10,6,10,1,5,12729800,254/140/254/254/254/254/,3.093350011308561E-50/1.0/3.093350011308561E-50/3.093350011308561E-50/3.093350011308561E-50/3.093350011308561E-50/,1/
10,6,10,1,7,13276800,563/220/401/563/563/484/,1.0889118078156954E-149/1.0/2.4700103638693594E-79/1.0889118078156954E-149/1.0889118078156954E-149/2.219508320972814E-115/,1/
10,6,10,1,9,14748800,1104/402/833/1104/1104/969/,0.0/1.0/0.0/0.0/0.0/0.0/,1/
10,6,10,1,1,12295900,61/50/61/61/61/61/,1.6700306172661652E-5/0.9999164984691367/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/,1/
10,6,10,1,3,12226000,120/50/120/145/145/145/,3.975449735908647E-31/1.0/3.975449735908647E-31/5.5210822770285325E-42/5.5210822770285325E-42/5.5210822770285325E-42/,1/
10,6,10,1,5,13858300,192/80/266/310/310/310/,2.2856936767186716E-49/1.0/1.664279891894355E-81/1.2949981925089835E-100/1.2949981925089835E-100/1.2949981925089835E-100/,1/
10,6,10,1,6,13893400,216/132/404/464/464/464/,3.305700626760734E-37/1.0/7.445620940050319E-119/6.519765989650919E-145/6.519765989650919E-145/6.519765989650919E-145/,1/
10,6,10,1,8,13603100,366/216/778/881/881/881/,7.175095973164411E-66/1.0/0.0/0.0/0.0/0.0/,1/
10,6,10,1,1,7171000,65/50/65/65/65/65/,3.0590185262139295E-7/0.999998470490737/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/,1/
10,6,10,1,3,11892800,125/84/96/151/151/151/,1.5628725867139349E-18/0.9999938558253978/6.144174602214718E-6/7.984855185041111E-30/7.984855185041111E-30/7.984855185041111E-30/,1/
10,6,10,1,4,9775900,185/84/149/219/219/219/,1.368539471173853E-44/1.0/5.900090541597061E-29/2.3455513385429143E-59/2.3455513385429143E-59/2.3455513385429143E-59/,1/
10,6,10,1,5,11818000,295/140/246/343/343/343/,4.834541638053336E-68/1.0/9.221146422925874E-47/6.890015099069139E-89/6.890015099069139E-89/6.890015099069139E-89/,1/
10,6,10,1,7,9635500,620/218/430/704/704/704/,2.5919001981743924E-175/1.0/8.502954135303866E-93/8.568046109606362E-212/8.568046109606362E-212/8.568046109606362E-212/,1/
10,6,10,1,1,9661900,61/50/61/61/61/61/,1.6700306172661652E-5/0.9999164984691367/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/,1/
10,6,10,1,3,7694100,129/60/129/129/129/129/,1.0806392777072785E-30/1.0/1.0806392777072785E-30/1.0806392777072785E-30/1.0806392777072785E-30/1.0806392777072785E-30/,1/
10,6,10,1,5,11129600,298/90/254/298/298/298/,4.6424556560426474E-91/1.0/5.966298364010571E-72/4.6424556560426474E-91/4.6424556560426474E-91/4.6424556560426474E-91/,1/
10,6,10,1,7,11722700,542/160/542/619/619/619/,1.2574997661299533E-166/1.0/1.2574997661299533E-166/4.5586138580111504E-200/4.5586138580111504E-200/4.5586138580111504E-200/,1/
10,6,10,1,9,9873200,658/260/765/1139/1139/1139/,1.4151295589086178E-173/1.0/0.0/0.0/0.0/0.0/,1/
10,6,10,1,1,12162900,50/50/50/50/50/50/,0.16666666666666669/0.16666666666666669/0.16666666666666669/0.16666666666666669/0.16666666666666669/0.16666666666666669/,0/1/2/3/4/5/
10,6,10,1,3,11492300,134/96/96/134/134/134/,1.5695663960240148E-17/0.5/0.5/1.5695663960240148E-17/1.5695663960240148E-17/1.5695663960240148E-17/,1/2/
10,6,10,1,5,11278000,313/127/183/313/313/313/,1.6642798918943552E-81/1.0/4.780892883885469E-25/1.6642798918943552E-81/1.6642798918943552E-81/1.6642798918943552E-81/,1/
10,6,10,1,6,10219400,468/142/302/468/468/468/,2.6302613270598386E-142/1.0/3.257488532207521E-70/2.6302613270598386E-142/2.6302613270598386E-142/2.6302613270598386E-142/,1/
10,6,10,1,8,10374100,919/258/655/919/919/919/,0.0/1.0/3.846720964896559E-173/0.0/0.0/0.0/,1/
10,6,10,1,1,10285100,65/65/50/65/65/65/,3.0590185262139295E-7/3.0590185262139295E-7/0.999998470490737/3.0590185262139295E-7/3.0590185262139295E-7/3.0590185262139295E-7/,2/
10,6,10,1,3,11308900,135/64/110/135/135/135/,1.462486227251231E-31/1.0/1.0530617357553813E-20/1.462486227251231E-31/1.462486227251231E-31/1.462486227251231E-31/,1/
10,6,10,1,5,13913100,330/134/209/284/284/284/,7.555819019711961E-86/1.0/2.678636961808078E-33/7.175095973164411E-66/7.175095973164411E-66/7.175095973164411E-66/,1/
10,6,10,1,6,10904800,464/174/305/404/404/404/,1.1339665610377455E-126/1.0/1.2806276389220833E-57/1.2949981925089838E-100/1.2949981925089838E-100/1.2949981925089838E-100/,1/
10,6,10,1,8,11596500,958/240/588/848/848/848/,0.0/1.0/7.337030047740495E-152/0.0/0.0/0.0/,1/
10,6,10,1,1,9482100,61/50/61/61/61/61/,1.6700306172661652E-5/0.9999164984691367/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/,1/
10,6,10,1,3,7470000,120/50/94/140/140/140/,3.975449735908647E-31/1.0/7.781132241133795E-20/8.194012623990516E-40/8.194012623990516E-40/8.194012623990516E-40/,1/
10,6,10,1,4,6219100,196/50/161/225/225/225/,3.917469664450396E-64/1.0/6.213159586848109E-49/9.964733010103672E-77/9.964733010103672E-77/9.964733010103672E-77/,1/
10,6,10,1,5,7628400,212/50/260/349/349/349/,4.408531331463226E-71/1.0/6.282880511239462E-92/1.3994259113851392E-130/1.3994259113851392E-130/1.3994259113851392E-130/,1/
10,6,10,1,7,7058700,404/50/655/655/655/655/,1.818667920110323E-154/1.0/1.785823150070186E-263/1.785823150070186E-263/1.785823150070186E-263/1.785823150070186E-263/,1/
10,6,10,1,1,9900800,61/50/61/61/61/61/,1.6700306172661652E-5/0.9999164984691367/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/,1/
10,6,10,1,3,7876100,140/60/120/140/140/140/,1.8048513878454153E-35/1.0/8.756510762696521E-27/1.8048513878454153E-35/1.8048513878454153E-35/1.8048513878454153E-35/,1/
10,6,10,1,5,9277200,336/80/260/336/336/295/,6.616261056709485E-112/1.0/6.714184288211592E-79/6.616261056709485E-112/6.616261056709485E-112/4.23337158863185E-94/,1/
10,6,10,1,7,8106300,665/110/510/665/665/592/,9.258967159247674E-242/1.0/1.9151695967140057E-174/9.258967159247674E-242/9.258967159247674E-242/4.6779946698318584E-210/,1/
10,6,10,1,9,9808700,1104/190/833/1104/1104/969/,0.0/1.0/0.0/0.0/0.0/0.0/,1/
10,6,10,1,1,7959300,65/50/50/65/65/65/,1.5295106667474044E-7/0.49999969409786665/0.49999969409786665/1.5295106667474044E-7/1.5295106667474044E-7/1.5295106667474044E-7/,1/2/
10,6,10,1,3,9390000,135/70/110/135/135/135/,5.900090541597061E-29/1.0/4.248354255291589E-18/5.900090541597061E-29/5.900090541597061E-29/5.900090541597061E-29/,1/
10,6,10,1,5,8647700,284/90/158/284/284/284/,5.583037061001887E-85/1.0/2.937482111710803E-30/5.583037061001887E-85/5.583037061001887E-85/5.583037061001887E-85/,1/
10,6,10,1,6,9540000,430/100/270/430/430/430/,4.817491664943075E-144/1.0/1.4788975056432133E-74/4.817491664943075E-144/4.817491664943075E-144/4.817491664943075E-144/,1/
10,6,10,1,8,8274100,802/160/558/802/802/802/,0.0/1.0/1.4151295589086178E-173/0.0/0.0/0.0/,1/
10,6,10,1,1,9328500,61/50/61/61/61/61/,1.6700306172661652E-5/0.9999164984691367/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/1.6700306172661652E-5/,1/
10,6,10,1,3,5318300,135/84/135/135/135/135/,7.095474162284704E-23/1.0/7.095474162284704E-23/7.095474162284704E-23/7.095474162284704E-23/7.095474162284704E-23/,1/
10,6,10,1,5,5851200,175/114/298/298/298/298/,3.221340285992516E-27/1.0/1.2297457485529627E-80/1.2297457485529627E-80/1.2297457485529627E-80/1.2297457485529627E-80/,1/
10,6,10,1,7,8199300,326/148/611/611/611/611/,4.961148436415421E-78/1.0/8.349392525651159E-202/8.349392525651159E-202/8.349392525651159E-202/8.349392525651159E-202/,1/
10,6,10,1,9,6707500,499/258/1053/1177/1177/1177/,2.162867233519399E-105/1.0/0.0/0.0/0.0/0.0/,1/
10,6,10,1,1,5965200,65/65/65/65/65/65/,0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/0.16666666666666666/,0/1/2/3/4/5/
10,6,10,1,3,7183500,156/156/156/156/156/134/,2.7894680889783587E-10/2.7894680889783587E-10/2.7894680889783587E-10/2.7894680889783587E-10/2.7894680889783587E-10/0.999999998605266/,5/
10,6,10,1,5,8480700,325/325/325/325/325/273/,2.6102790696677047E-23/2.6102790696677047E-23/2.6102790696677047E-23/2.6102790696677047E-23/2.6102790696677047E-23/1.0/,5/
10,6,10,1,6,9827100,449/238/449/449/449/383/,2.3113425714217192E-92/1.0/2.3113425714217192E-92/2.3113425714217192E-92/2.3113425714217192E-92/1.0648786602415064E-63/,1/
10,6,10,1,8,9709000,841/376/523/841/841/733/,0.0/1.0/1.4411565509640892E-64/0.0/0.0/9.05464376076493E-156/,1/
10,6,10,1,1,8286600,50/50/50/50/50/50/,0.16666666666666669/0.16666666
