Model,Step,Time,Cost,Prob,Results
0,2,1056719200,53/53/53/53/52/,0.19924100936194356/0.19924100936194356/0.19924100936194356/0.19924100936194356/0.20303596255222575/,4/
0,6,1728311300,71/82/63/76/71/,0.2040782302347175/0.17185109959963737/0.23125093089508578/0.18874150903584191/0.2040782302347175/,2/
0,10,2764224500,75/103/83/117/95/,0.25406713880089093/0.1757702079750454/0.22868268787199716/0.14619874733676197/0.19528121801530451/,0/
0,13,3417583800,55/144/63/55/112/,0.2913483215553669/0.05945583799292877/0.252563421085657/0.2913483215553669/0.10528409781068056/,0/3/
